Iterations,J_t
5120,0.0639989337902045
5130,0.06398622563428566
5140,0.06397364300790141
5150,0.06396118496265299
5160,0.06394885054310365
5170,0.0639366387877621
5180,0.06392454872999485
5190,0.06391257939887295
5200,0.06390072981995776
5210,0.06388899901602982
5220,0.06387738600776371
5230,0.06386588981435376
5240,0.06385450945409368
5250,0.06384324394491257
5260,0.0638320923048716
5270,0.06382105355262374
5280,0.06381012670783759
5290,0.06379931079159157
5300,0.06378860482673629
5310,0.06377800783823072
5320,0.06376751885345196
5330,0.06375713690248239
5340,0.06374686101837337
5350,0.06373669023739023
5360,0.06372662359923695
5370,0.06371666014726424
5380,0.06370679892866095
5390,0.0636970389946303
5400,0.06368737940055245
5410,0.06367781920613369
5420,0.06366835747554368
5430,0.06365899327754163
5440,0.06364972568559148
5450,0.06364055377796804
5460,0.06363147663785347
5470,0.06362249335342572
5480,0.06361360301793922
5490,0.06360480472979768
5500,0.06359609759262058
5510,0.06358748071530365
5520,0.06357895321207213
5530,0.06357051420253088
5540,0.06356216281170607
5550,0.06355389817008555
5560,0.06354571941365225
5570,0.06353762568391459
5580,0.06352961612793316
5590,0.06352168989834327
5600,0.06351384615337408
5610,0.06350608405686536
5620,0.0634984027782811
5630,0.06349080149272004
5640,0.06348327938092398
5650,0.06347583562928433
5660,0.06346846942984563
5670,0.06346117998030776
5680,0.06345396648402646
5690,0.06344682815001124
5700,0.06343976419292334
5710,0.06343277383307057
5720,0.06342585629640231
5730,0.06341901081450238
5740,0.06341223662458123
5750,0.06340553296946737
5760,0.06339889909759722
5770,0.06339233426300517
5780,0.06338583772531177
5790,0.063379408749712
5800,0.0633730466069629
5810,0.06336675057337056
5820,0.06336051993077624
5830,0.0633543539665428
5840,0.0633482519735401
5850,0.0633422132501304
5860,0.06333623710015367
5870,0.0633303228329114
5880,0.06332446976315237
5890,0.06331867721105577
5900,0.06331294450221586
5910,0.06330727096762581
5920,0.06330165594366137
5930,0.0632960987720643
5940,0.0632905987999262
5950,0.06328515537967129
5960,0.06327976786904045
5970,0.0632744356310737
5980,0.06326915803409329
5990,0.06326393445168678
6000,0.06325876426269003
6010,0.06325364685116973
6020,0.06324858160640598
6030,0.06324356792287483
6040,0.06323860520023118
6050,0.06323369284329027
6060,0.0632288302620109
6070,0.0632240168714767
6080,0.06321925209187844
6090,0.0632145353484958
6100,0.06320986607167971
6110,0.06320524369683259
6120,0.06320066766439125
6130,0.06319613741980719
6140,0.06319165241352782
6150,0.06318721210097805
6160,0.06318281594254009
6170,0.06317846340353488
6180,0.06317415395420167
6190,0.063169887069679
6200,0.06316566222998392
6210,0.06316147891999248
6220,0.06315733662941828
6230,0.0631532348527928
6240,0.06314917308944396
6250,0.06314515084347488
6260,0.06314116762374275
6270,0.06313722294383674
6280,0.06313331632205693
6290,0.06312944728139126
6300,0.0631256153494934
6310,0.06312182005866035
6320,0.06311806094580952
6330,0.063114337552455
6340,0.06311064942468471
6350,0.06310699611313636
6360,0.06310337717297375
6370,0.06309979216386204
6380,0.06309624064994396
6390,0.0630927221998144
6400,0.0630892363864958
6410,0.06308578278741261
6420,0.06308236098436595
6430,0.06307897056350792
6440,0.0630756111153152
6450,0.06307228223456311
6460,0.06306898352029915
6470,0.06306571457581575
6480,0.06306247500862398
6490,0.06305926443042578
6500,0.06305608245708677
6510,0.06305292870860861
6520,0.0630498028091013
6530,0.06304670438675473
6540,0.06304363307381051
6550,0.06304058850653385
6560,0.06303757032518484
6570,0.06303457817398905
6580,0.06303161170110919
6590,0.06302867055861605
6600,0.06302575440245843
6610,0.0630228628924345
6620,0.06301999569216166
6630,0.0630171524690471
6640,0.06301433289425773
6650,0.06301153664269031
6660,0.06300876339294138
6670,0.06300601282727693
6680,0.06300328463160217
6690,0.06300057849543134
6700,0.06299789411185681
6710,0.06299523117751883
6720,0.06299258939257527
6730,0.06298996846066993
6740,0.06298736808890301
6750,0.06298478798779968
6760,0.0629822278712792
6770,0.06297968745662462
6780,0.06297716646445169
6790,0.06297466461867769
6800,0.06297218164649133
6810,0.06296971727832135
6820,0.0629672712478054
6830,0.0629648432917602
6840,0.06296243315014997
6850,0.06296004056605582
6860,0.0629576652856452
6870,0.06295530705814122
6880,0.0629529656357917
6890,0.06295064077383908
6900,0.06294833223048962
6910,0.06294603976688291
6920,0.06294376314706188
6930,0.06294150213794208
6940,0.06293925650928188
6950,0.06293702603365212
6960,0.06293481048640613
6970,0.0629326096456501
6980,0.06293042329221313
6990,0.06292825120961743
7000,0.06292609318404888
7010,0.06292394900432785
7020,0.06292181846187955
7030,0.0629197013507051
7040,0.0629175974673522
7050,0.0629155066108869
7060,0.06291342858286396
7070,0.0629113631872994
7080,0.06290931023064046
7090,0.06290726952173925
7100,0.0629052408718229
7110,0.06290322409446693
7120,0.06290121900556632
7130,0.06289922542330889
7140,0.06289724316814721
7150,0.06289527206277154
7160,0.06289331193208264
7170,0.0628913626031651
7180,0.06288942390526006
7190,0.0628874956697394
7200,0.06288557773007866
7210,0.06288366992183125
7220,0.06288177208260241
7230,0.0628798840520231
7240,0.06287800567172512
7250,0.06287613678531463
7260,0.06287427723834792
7270,0.06287242687830559
7280,0.06287058555456843
7290,0.06286875311839217
7300,0.06286692942288333
7310,0.06286511432297502
7320,0.06286330767540281
7330,0.06286150933868073
7340,0.06285971917307821
7350,0.06285793704059597
7360,0.06285616280494298
7370,0.06285439633151375
7380,0.06285263748736522
7390,0.062850886141194
7400,0.06284914216331451
7410,0.06284740542563574
7420,0.06284567580164076
7430,0.06284395316636315
7440,0.06284223739636699
7450,0.0628405283697242
7460,0.06283882596599408
7470,0.06283713006620192
7480,0.06283544055281866
7490,0.06283375730973959
7500,0.06283208022226432
7510,0.06283040917707686
